product_id,name,category,price,stock_quantity,event_type
5823,Tablet,Gadgets,725.75,60,DELETE
8163,Headphones,Electronics,588.97,43,UPDATE
1426,Smartphone,Gadgets,796.19,94,INSERT
5671,Smartphone,Gadgets,569.38,89,INSERT
8279,Laptop,Gadgets,347.7,28,UPDATE
1010,Smartphone,Electronics,440.99,65,UPDATE
8033,Smartwatch,Accessories,899.79,25,INSERT
8626,Headphones,Accessories,526.37,77,DELETE
7953,Tablet,Electronics,295.3,89,INSERT
5017,Headphones,Accessories,368.99,84,INSERT
3081,Headphones,Gadgets,517.98,2,DELETE
2079,Tablet,Gadgets,425.79,11,DELETE
9281,Headphones,Electronics,981.2,70,UPDATE
6075,Tablet,Electronics,141.82,47,UPDATE
2544,Smartwatch,Gadgets,679.0,82,INSERT
1104,Headphones,Gadgets,248.42,33,INSERT
7002,Laptop,Accessories,760.53,14,INSERT
2315,Smartphone,Electronics,80.38,79,UPDATE
1756,Headphones,Electronics,484.9,50,UPDATE
8647,Smartwatch,Electronics,771.49,74,DELETE
3369,Smartphone,Gadgets,83.15,48,UPDATE
6611,Laptop,Gadgets,395.39,46,UPDATE
2915,Laptop,Accessories,170.99,27,INSERT
9286,Smartphone,Accessories,298.61,83,DELETE
2624,Laptop,Electronics,928.96,44,UPDATE
6754,Headphones,Electronics,439.72,50,INSERT
7249,Laptop,Electronics,47.4,66,INSERT
5815,Laptop,Gadgets,796.98,6,INSERT
1156,Tablet,Gadgets,718.16,18,UPDATE
8841,Tablet,Electronics,292.94,84,UPDATE
5054,Laptop,Electronics,935.49,19,UPDATE
8556,Laptop,Electronics,566.13,3,INSERT
1402,Smartwatch,Accessories,470.43,41,DELETE
1807,Laptop,Gadgets,831.49,60,DELETE
4708,Laptop,Accessories,581.99,55,DELETE
8087,Tablet,Accessories,451.74,29,DELETE
8150,Tablet,Accessories,388.83,29,INSERT
7931,Smartphone,Electronics,432.73,13,INSERT
4900,Headphones,Gadgets,470.64,42,DELETE
3436,Smartwatch,Gadgets,528.06,45,DELETE
8440,Tablet,Accessories,680.19,49,INSERT
2454,Smartwatch,Gadgets,790.75,45,INSERT
3542,Smartwatch,Electronics,482.18,67,DELETE
4035,Laptop,Accessories,610.81,60,INSERT
7092,Smartphone,Electronics,226.04,60,UPDATE
8279,Smartwatch,Gadgets,43.4,86,UPDATE
7060,Laptop,Accessories,243.73,49,DELETE
7167,Headphones,Accessories,405.74,30,INSERT
8565,Headphones,Accessories,913.56,26,UPDATE
8700,Laptop,Electronics,886.94,14,DELETE
6262,Smartwatch,Gadgets,948.74,21,DELETE
9785,Tablet,Gadgets,101.24,44,DELETE
9559,Smartwatch,Accessories,653.85,94,UPDATE
1188,Tablet,Accessories,415.79,60,INSERT
5088,Headphones,Gadgets,389.74,76,INSERT
2260,Tablet,Electronics,127.57,59,DELETE
1717,Laptop,Electronics,515.07,4,DELETE
2514,Headphones,Electronics,126.27,73,UPDATE
2399,Smartphone,Accessories,733.26,84,UPDATE
4847,Headphones,Electronics,994.48,93,DELETE
9311,Smartwatch,Accessories,71.54,84,INSERT
3593,Headphones,Electronics,850.57,12,INSERT
9242,Smartwatch,Electronics,138.41,35,INSERT
5352,Headphones,Gadgets,846.5,30,UPDATE
9493,Smartwatch,Gadgets,787.93,57,UPDATE
1433,Smartwatch,Electronics,77.35,56,DELETE
5541,Headphones,Electronics,871.64,12,UPDATE
8321,Laptop,Gadgets,555.24,56,DELETE
1035,Tablet,Electronics,868.34,20,UPDATE
1475,Headphones,Gadgets,560.98,59,UPDATE
9821,Smartwatch,Electronics,51.39,77,INSERT
4421,Smartphone,Electronics,857.8,78,UPDATE
8223,Tablet,Accessories,486.61,89,UPDATE
8240,Smartphone,Electronics,103.37,80,DELETE
4740,Laptop,Accessories,434.87,84,INSERT
6847,Laptop,Accessories,154.43,96,INSERT
5170,Tablet,Electronics,368.31,75,DELETE
6930,Smartwatch,Electronics,866.76,89,DELETE
7305,Tablet,Accessories,879.11,36,DELETE
6029,Headphones,Gadgets,862.24,30,DELETE
5593,Smartphone,Accessories,270.29,19,INSERT
9752,Smartwatch,Electronics,760.51,49,DELETE
3029,Smartphone,Electronics,309.46,37,INSERT
5166,Laptop,Electronics,529.11,48,INSERT
7433,Headphones,Gadgets,224.15,2,UPDATE
5095,Laptop,Electronics,111.22,65,INSERT
7644,Smartwatch,Electronics,209.39,58,INSERT
1966,Headphones,Electronics,129.32,98,DELETE
1307,Smartwatch,Accessories,11.81,74,INSERT
8184,Smartwatch,Accessories,891.2,76,INSERT
9203,Smartwatch,Accessories,415.89,68,DELETE
6894,Smartwatch,Gadgets,616.8,7,INSERT
4288,Laptop,Gadgets,716.91,53,INSERT
6620,Tablet,Electronics,857.49,45,INSERT
3213,Tablet,Gadgets,259.27,60,INSERT
7347,Laptop,Electronics,831.04,49,INSERT
4266,Headphones,Accessories,215.11,5,INSERT
6174,Tablet,Gadgets,903.27,51,UPDATE
6098,Smartwatch,Accessories,766.61,91,UPDATE
6959,Laptop,Gadgets,766.33,46,DELETE
6350,Smartwatch,Accessories,265.53,81,INSERT
6677,Headphones,Gadgets,302.21,4,INSERT
6473,Tablet,Electronics,574.37,89,INSERT
5879,Laptop,Accessories,386.3,97,DELETE
1572,Smartwatch,Gadgets,628.44,2,UPDATE
1498,Headphones,Electronics,368.6,18,INSERT
4767,Laptop,Electronics,395.97,96,UPDATE
9447,Laptop,Electronics,835.33,53,INSERT
3024,Headphones,Gadgets,543.31,87,INSERT
3722,Smartwatch,Electronics,200.25,28,UPDATE
9709,Smartwatch,Accessories,471.01,58,DELETE
7932,Headphones,Accessories,952.17,90,DELETE
